id,source,target
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Вишинський, Борис: Художник: Новели, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Вишинський, Борис: Побачення під липою: Оповідання, № 11"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Гілевський, Паскаль: Сторож, № 07"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Гілевський, Паскаль: Адвокат: Новели, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Каровський, Лазо: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Конеський, Блаже: Караорман, № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Конеський, Блаже: Жива вода: [Вірші], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Манев, Євтим: [Поезії], № 08"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Мартиновський, Цветко: Казочка про кажанів: Новела, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Мартиновський, Цветко: Мертва петля: Новела, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Матевський, Матея: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Місіркова-Руменова, Ката: Вогні: Новела, № 10"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Момировський, Томе: Діо Богдан: Новела, № 01"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Момировський, Томе: Клятва: Новела, № 07"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Напеський, Джоро: Євдокія: Новела, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Павловський, Радован: [Поезії], № 08"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Пендовський, Бранко: Бажання: Новела, № 01"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Подгорець [Подгорец], Відос: Загублений світлячок: Новела, № 01"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Подгорець [Подгорец], Відос: Одне літо: Новела, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Подгорець [Подгорец], Відос: Скрипка: Новела, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Поповський, Анте: [Поезії], № 08"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Поповський, Глигор: Дилема: Новела, № 01"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1987
,1987,"Рацин, Кочо: Вогнеграй: [Вірш], № 11"
,1960 - 1970,Macedonia
,1960 - 1970,-
,1960 - 1970,1965
,1965,"Рацин, Кочо: [Поезії], № 03"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Реджов, Михаїл: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Рошковський, Слободан: Влітку, коли Йдуть дощі...: Новела, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Солунський, Коце: Щоденник пошепки: Новела, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Стрезовський, Йован: Неспокійна ніч, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Стрезовський, Йован: Доброволки: Новели, № 10"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Стрезовський, Йован: Сам: Новела, № 01"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Тодоровський, Гане: Жаркого серпневого надвечір’я умирає поранений партизан, № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Тодоровський, Гане: Зустріч: [Вірші], № 08"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Точко, Іван: Акорди, № 01"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Точко, Іван: Поплавець, № 01"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Точко, Іван: Туга, № 01"
,1960 - 1970,Macedonia
,1960 - 1970,Macedonian
,1960 - 1970,1966
,1966,"Точко, Іван: Проліски: Новели, № 01"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Трифуновська, Радмила: В дощ: Новела, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Чашуле, Коле: Дюшу: Новела, № 10"
,1980 - 1990,Macedonia
,1980 - 1990,Macedonian
,1980 - 1990,1982
,1982,"Чашуле, Коле: Консулова ніч: Новела, № 07"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Шопов, Ацо: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Шуплинова, Євгенія: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Яневський, Славко: [Поезії], № 08"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1973
,1973,"Яневський, Славко: Село за сімома ясенами: Роман, № 05"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1973
,1973,"Яневський, Славко: Село за сімома ясенами: Роман, № 06"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1970
,1970,"Яневський, Славко: Сповідь за сто франків: Новела, № 10"
,1970 - 1980,Macedonia
,1970 - 1980,Macedonian
,1970 - 1980,1975
,1975,"Яневський, Славко: У гірському млині: Оповідання, № 11"
,1970 - 1980,Malawi
,1970 - 1980,English
,1970 - 1980,1979
,1979,"Рубадірі, Девід: Африканська гроза: Вірш, № 06"
,1980 - 1990,Malawi
,1980 - 1990,English
,1980 - 1990,1981
,1981,"Рубадірі, Девід: Чорна дитина: [Вірш], № 03"
,1980 - 1990,Mali
,1980 - 1990,French
,1980 - 1990,1981
,1981,"Діавара, Гауссу: Дороговказ XX століття, № 03"
,1980 - 1990,Mali
,1980 - 1990,French
,1980 - 1990,1981
,1981,"Діавара, Гауссу: Послання Африки: [Вірші], № 03"
,1980 - 1990,Mali
,1980 - 1990,French
,1980 - 1990,1980
,1980,"Діавара, Гауссу: Іти до Леніна: [Вірш], № 04"
,1970 - 1980,Mali
,1970 - 1980,French
,1970 - 1980,1979
,1979,"Діавара, Гауссу: Пісня про мир: [Вірш], № 06"
,1960 - 1970,Morocco
,1960 - 1970,Arabic
,1960 - 1970,1966
,1966,"аль-Хітабі, Мухаммед аль-Арабі: Сяйво: Оповідання, № 06"
,1980 - 1990,Martinique
,1980 - 1990,French
,1980 - 1990,1985
,1985,"Гліссан, Едуар: [Поезії], № 01"
,1980 - 1990,Martinique
,1980 - 1990,French
,1980 - 1990,1988
,1988,"Сезер, Еме: Щоденник повернення в рідний край: Урив, з поеми, № 11"
,1990 - 2000,Mexico
,1990 - 2000,Spanish
,1990 - 2000,1993
,1993,"Ікаса, Франсіско де: Мадригал про смерть: [Вірш], № 02"
,1980 - 1990,Mexico
,1980 - 1990,Spanish
,1980 - 1990,1987
,1987,"Кірос Мендоса, Раймундо: Любов-отрута: Детектив-пародія, № 05"
,1950 - 1960,Mexico
,1950 - 1960,Spanish
,1950 - 1960,1959
,1959,"Мансісідор, Хосе: Тео: Оповідання, № 03"
,1980 - 1990,Mexico
,1980 - 1990,Spanish
,1980 - 1990,1987
,1987,"Мартінес де ла Вега, Пепе: Таємниця бляшанки з сардинами: Детектив-пародія, № 05"
,1960 - 1970,Mexico
,1960 - 1970,Spanish
,1960 - 1970,1962
,1962,"Мір, Педро: Клич Жовтня: [Вірш], № 11"
,1960 - 1970,Mexico
,1960 - 1970,Spanish
,1960 - 1970,1965
,1965,"Нандіно, Еліас: Відкрий очі!: [Вірш], № 01"
,1980 - 1990,Mexico
,1980 - 1990,Spanish
,1980 - 1990,1988
,1988,"Нерво, Амадо: Давній приспів: [Вірш], № 11"
,1990 - 2000,Mexico
,1990 - 2000,Spanish
,1990 - 2000,1993
,1993,"Нерво, Амадо: Стара приспівка: [Поезія], № 02"
,1960 - 1970,Mexico
,1960 - 1970,Spanish
,1960 - 1970,1967
,1967,"Оліва, Оскар: Прокинься, Мексіко!, № 09"
,1960 - 1970,Mexico
,1960 - 1970,Spanish
,1960 - 1970,1967
,1967,"Оліва, Оскар: Прометей: [Вірші], № 09"
,1980 - 1990,Mexico
,1980 - 1990,Spanish
,1980 - 1990,1986
,1986,"Пас, Октавіо: Елегія про юнака, на фронті загиблого, № 08"
,1970 - 1980,Mexico
,1970 - 1980,Spanish
,1970 - 1980,1975
,1975,"Пас, Октавіо: [Поезії], № 01"
,1990 - 2000,Mexico
,1990 - 2000,Spanish
,1990 - 2000,1992
,1992,"Пас, Октавіо: [Поезії], № 1/2"
,1950 - 1960,Mexico
,1950 - 1960,Spanish
,1950 - 1960,1958
,1958,"Рохас Гонсалес, Франціско: Корови із Ківікінти, № 02"
,1950 - 1960,Mexico
,1950 - 1960,Spanish
,1950 - 1960,1958
,1958,"Рохас Гонсалес, Франціско: Сумна історія танцюриста: Новели, № 02"
,1970 - 1980,Mexico
,1970 - 1980,Spanish
,1970 - 1980,1976
,1976,"Рульфо, Хуан: День стихійного лиха: Новела, № 02"
,1970 - 1980,Mexico
,1970 - 1980,Spanish
,1970 - 1980,1976
,1976,"Фуентес, Карлос: Ціна життя: Новела, № 02"
,1960 - 1970,Mexico
,1960 - 1970,Spanish
,1960 - 1970,1967
,1967,"Шеллей, Хайме Аугусто: Я руку подаю: [Вірш], № 09"
,1960 - 1970,Mozambique
,1960 - 1970,French
,1960 - 1970,1961
,1961,"Калунгано: Де я?: [Вірш], № 10"
,1970 - 1980,Mozambique
,1970 - 1980,Portuguese
,1970 - 1980,1974
,1974,"Кравейрінья, Жозе: Ми, № 11"
,1970 - 1980,Mozambique
,1970 - 1980,Portuguese
,1970 - 1980,1974
,1974,"Кравейрінья, Жозе: Елегія бабуні Фанісі: [Вірші], № 11"
,1980 - 1990,Mozambique
,1980 - 1990,Portuguese
,1980 - 1990,1985
,1985,"Мендіш, Орланду: Манливе марево життя: Роман, № 02"
,1980 - 1990,Mozambique
,1980 - 1990,Portuguese
,1980 - 1990,1983
,1983,"Мендіш, Орланду: [Поезії], № 10"
,1950 - 1960,Mozambique
,1950 - 1960,Portuguese
,1950 - 1960,1959
,1959,"Мікайя, Лілінью: Хлопчику з рідного краю: [Вірш], № 01"
,1970 - 1980,Mozambique
,1970 - 1980,Portuguese
,1970 - 1980,1979
,1979,"Норонья, Руй де: [Поезії], № 06"
,1950 - 1960,Mozambique
,1950 - 1960,Portuguese
,1950 - 1960,1959
,1959,"Соуза, Ноемія де |ді|: Заклик: [Вірш], № 01"
,1980 - 1990,Mozambique
,1980 - 1990,Portuguese
,1980 - 1990,1980
,1980,"Соуза, Ноемія де |ді|: [Поезії], № 03"
,1970 - 1980,Mozambique
,1970 - 1980,Portuguese
,1970 - 1980,1974
,1974,"Соуза, Ноемія де |ді|: Якщо хочеш мене пізнати: [Вірш], № 11"
,1930 - 1940,Moldova
,1930 - 1940,Moldovan
,1930 - 1940,1934
,1934,"Кабак, Нестор: Дністер тече!: [Вірш], № 20"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Ахтан, Бабийн: Канал: [Вірш], № 07"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Гарма, Доржийн: Сто тугриків, № 06"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Гарма, Доржийн: Гобійська історія, № 06"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Гарма, Доржийн: Гаряче джерело, № 06"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Гарма, Доржийн: Самородок, № 06"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Гарма, Доржийн: Вовче лігво: Оповідання, № 06"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1971
,1971,"Дамдінсурен, Цендійн: До Леніна прийшли ми: [Вірш], № 04"
,1950 - 1960,Mongolia
,1950 - 1960,Mongolian
,1950 - 1960,1958
,1958,"Дамдінсурен, Цендійн: Монголія рідна: [Вірш], № 03"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1977
,1977,"Дамдінсурен, Цендійн: Радянському народові: Уривок з поеми, № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Ердене, Сенгійн: Крок до сонця: [Вірш], № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Ердене, Сенгійн: Очі коханої, № 07"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Ердене, Сенгійн: Вогонь душі: [Вірші], № 07"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1979
,1979,"Мягмар, Дембегійн: Ювілей: Оповідання, № 06"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Нацагдорж, Дащдоржийн: Жовтень, № 07"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Нацагдорж, Дащдоржийн: Надом: [Вірші], № 07"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Нацагдорж, Дащдоржийн: Моя Батьківщина, № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Нацагдорж, Дащдоржийн: Марс: [Вірші], № 12"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1985
,1985,"Нямаа, Батин: Тайговий мисливець: Оповідання, № 05"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1986
,1986,"Нямаа, Долгорин: [Поезії], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Нямдорж, Нямбугійн: Квітка: [Вірш], № 07"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1970
,1970,"Пуревдорж, Дендевійн: Наш друг і вождь: [Вірш], № 04"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1986
,1986,"Пуревдорж, Дендевійн: [Поезії], № 11"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1983
,1983,"Пуревсурен, Пуревжавин: Помста: Оповідання, № 10"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Рінчен, Бямбин: Дівич-квіт: [Вірш], № 12"
,1950 - 1960,Mongolia
,1950 - 1960,Mongolian
,1950 - 1960,1958
,1958,"Рінчен, Бямбин: Люди великої Гобі: Оповідання, № 03"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Рінчен, Бямбин: Хто краде радість у людей..: [Вірш], № 07"
,1950 - 1960,Mongolia
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Сенге, Дашцевегійн [Дашцевегін: [Поезії], № 06"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Сенге, Дашцевегійн [Дашцевегін: Розповідь старого партизана: [Вірш], № 12"
,1950 - 1960,Mongolia
,1950 - 1960,Mongolian
,1950 - 1960,1958
,1958,"Сенге, Дашцевегійн [Дашцевегін: Ходім!: [Вірш], № 04"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Содномдорж, Дамдінцогійн: Дружба: [Вірш], № 07"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1970
,1970,"Суренжав, Ш: Вождевих монументів простота: [Вірш], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Тарва, Далантайн: Друг мій муляр: [Вірш], № 07"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1986
,1986,"Тудев, Лодонгійн: «Не мить, не день...»: [Вірш], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1979
,1979,"Тудев, Лодонгійн: [Поезії], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Тудев, Лодонгійн: Радянському народові: [Вірш], № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Цевегмід, Дондогійн: На могилі: Урив, з поеми, № 07"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1980
,1980,"Цедев, Дожоогійн: П’ятий тур: Оповідання, № 06"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1986
,1986,"Цедев, Дожоогійн: Тут, недалеко, № 11"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1986
,1986,"Цедев, Дожоогійн: Притча про пропалого верблюда: [Вірші], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1977
,1977,"Цедендорж, Мішігійн [Мішигійн]: Гімн Жовтню: [Вірш], № 11"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Цедендорж, Мішігійн [Мішигійн]: Скарга закоханої: [Вірш], № 07"
,1970 - 1980,Mongolia
,1970 - 1980,Mongolian
,1970 - 1980,1977
,1977,"Цендійн, Дамдінсурен: Радянському народові: Урив, вірша, № 12"
,1950 - 1960,Mongolia
,1950 - 1960,Mongolian
,1950 - 1960,1958
,1958,"Чимід, Чойилін: Я - монгол: [Вірш], № 03"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1984
,1984,"Юмсурен, Тундевійн: Пахощі лісу, № 12"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1984
,1984,"Юмсурен, Тундевійн: Ранок, № 12"
,1980 - 1990,Mongolia
,1980 - 1990,Mongolian
,1980 - 1990,1984
,1984,"Юмсурен, Тундевійн: Перекочівля: Новели, № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1970
,1970,"Явухулан, Бегзійн: [Поезії], № 12"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Явухулан, Бегзійн: Це я, № 07"
,1970 - 1980,Mongolia
,1970 - 1980,-
,1970 - 1980,1971
,1971,"Явухулан, Бегзійн: «Я здалеку прийшов до свого краю...»: [Вірші], № 07"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"В’ятхіт, Кедарман: Буря: [Вірш], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Гаргей, Шанкар: Чому я одягла свої прикраси?: [Вірш], № 04"
,1970 - 1980,Nepal
,1970 - 1980,Nepali
,1970 - 1980,1978
,1978,"Готхоме [Говінда Бахадур Малла]: Пес і слуга, № 08"
,1970 - 1980,Nepal
,1970 - 1980,Nepali
,1970 - 1980,1978
,1978,"Готхоме [Говінда Бахадур Малла]: Убивця: Оповідання, № 08"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Гхіміре, Мадхав Прасад: Пісня узгір, № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Гхіміре, Мадхав Прасад: Квітень: [Вірші], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Девакот, Лакшмі Прасад: Ми непальці: [Вірш], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Рока, Бхімдаршан: В путі, № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Рока, Бхімдаршан: Хто хоче пісню в мене відібрать?: [Вірші], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Сам, Балкришан: Таке життя: [Вірш], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Тіварі, Бхімнідхі: Хто пожаліє його?: [Вірш], № 04"
,1950 - 1960,Nepal
,1950 - 1960,-
,1950 - 1960,1959
,1959,"Шрештх, Сіддхичаран: Водоспад у місячнім сяйві: [Вірш], № 04"
,1970 - 1980,Nigeria
,1970 - 1980,English
,1970 - 1980,1978
,1978,"Ачебе, Чінуа: Няньчина помста: Оповідання, № 09"
,1980 - 1990,Nigeria
,1980 - 1990,English
,1980 - 1990,1987
,1987,"Еквенсі, Кіпріан: Танок слона: Оповідання, № 06"
,1980 - 1990,Nigeria
,1980 - 1990,English
,1980 - 1990,1989
,1989,"Іняма Ннадозі: Різдвяний дарунок: Оповідання, № 12"
,1970 - 1980,Nigeria
,1970 - 1980,English
,1970 - 1980,1975
,1975,"Кларк, Джон Пеппер: [Поезії], № 12"
,1970 - 1980,Nigeria
,1970 - 1980,-
,1970 - 1980,1972
,1972,"Молоку, Бенділі: Вірш, № 10"
,1990 - 2000,Nigeria
,1990 - 2000,English
,1990 - 2000,1990
,1990,"Нвагбосо, Максвелл Нкем: Русалка: Оповідання, № 06"
,1970 - 1980,Nigeria
,1970 - 1980,English
,1970 - 1980,1975
,1975,"Окара, Гебріел: [Поезії], № 02"
,1970 - 1980,Nigeria
,1970 - 1980,English
,1970 - 1980,1975
,1975,"Окігбо, Крістофер: [Поезії], № 12"
,1960 - 1970,Nigeria
,1960 - 1970,French
,1960 - 1970,1961
,1961,"Осадебай, Денніс: Хто купить мої думки?: [Вірш], № 10"
,1990 - 2000,Nigeria
,1990 - 2000,English
,1990 - 2000,1997
,1997,"Саро-Віва, Кен: Новітні жебраки: Оповідання, № 5/6"
,1970 - 1980,Nigeria
,1970 - 1980,English
,1970 - 1980,1973
,1973,"Шоїнка, Воле: [Поезії], № 09"
,1980 - 1990,Nigeria
,1980 - 1990,English
,1980 - 1990,1981
,1981,"Шоїнка, Воле: Розмова по телефону: [Вірш], № 03"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Ааф’єс, Бертус: Мудрець у кімоно: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Бауер К: Пістолет: Оповідання, № 09"
,1990 - 2000,Netherlands. Literature in Dutch
,1990 - 2000,Dutch
,1990 - 2000,2000
,2000,"Белькампо [Герман Пітер Шенфельд Віхерс]: Три оповідання: Зізнання, № 5/6"
,1990 - 2000,Netherlands. Literature in Dutch
,1990 - 2000,Dutch
,1990 - 2000,2000
,2000,"Белькампо [Герман Пітер Шенфельд Віхерс]: Музей, № 5/6"
,1990 - 2000,Netherlands. Literature in Dutch
,1990 - 2000,Dutch
,1990 - 2000,2000
,2000,"Белькампо [Герман Пітер Шенфельд Віхерс]: Велика подія, № 5/6"
,1980 - 1990,Netherlands. Literature in Dutch
,1980 - 1990,Dutch
,1980 - 1990,1984
,1984,"Боманс, Ходфрід: Портрети: Гуморески, № 12"
,1980 - 1990,Netherlands. Literature in Dutch
,1980 - 1990,Dutch
,1980 - 1990,1988
,1988,"Боманс, Ходфрід: Ясновидець: Гумореска, № 02"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Бордевейк, Філіпп: Акціонерна компанія «Конденс»: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Ван Ейк, Генріетта: Битва: Оповідання, № 09"
,1980 - 1990,Netherlands. Literature in Dutch
,1980 - 1990,Dutch
,1980 - 1990,1989
,1989,"Вестдейк, Сімон: Пустельник і диявол: Оповідання, № 08"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Гейнес, Г. І: Пан: Оповідання, № 09"
,1990 - 2000,Netherlands. Literature in Dutch
,1990 - 2000,Dutch
,1990 - 2000,1992
,1992,"Германе, Віллєм Фредерік: Подорож до Магнітогорська: Оповідання, № 3/4"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Гукстра, Г. X: Риби і люди: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Коолен, Антон: Дядечко Янтьє, чоботар: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Меестер, Йоган де: Дерев’яні черевички: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1964
,1964,"Рост, Ніко: Веселі історії, розказані в яблуневому саду: Оповідання, № 09"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1963
,1963,"Схендел, Артур: Життя - це свято танцю: Роман, № 09"
,1950 - 1960,Netherlands. Literature in Dutch
,1950 - 1960,German
,1950 - 1960,1959
,1959,"Фріс, Тойн де: День святої Єлизавети: Оповідання, № 06"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1965
,1965,"Фріс, Тойн де: Кенау: Іст. повість, № 12"
,1960 - 1970,Netherlands. Literature in Dutch
,1960 - 1970,Dutch
,1960 - 1970,1960
,1960,"Фріс, Тойн де: Нові потоки: Урив, з роману, № 11"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1984
,1984,"Аннеке: Aппo...: [Вірш], № 12"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1984
,1984,"Білсма, Майндерт: [Поезії], № 12"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1984
,1984,"Боухойс, Ян: Сільський робітник: [Вірш], № 12"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1983
,1983,"Вельде, Рінк ван дер: Верша: Роман, № 07"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1984
,1984,"Вібенга, Ян: Гнівний водолаз, № 12"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
,1980 - 1990,1984
,1984,"Вібенга, Ян: Старий шкільний підвал: [Поезії], № 12"
,1980 - 1990,"Netherlands, Literature in Frisian Language"
,1980 - 1990,Frisian
