id,source,link
13993,1970 - 1980,English
13994,1970 - 1980,1978
13995,1978,"Портер, Кетрін Енн: Корабель блазнів: Роман, № 07"
13996,1990 - 2000,USA. Literature in English
13997,1990 - 2000,English
13998,1990 - 2000,1997
13999,1997,"П’юзо, Маріо: Останній дон: Роман, № 11/12"
14000,1990 - 2000,USA. Literature in English
14001,1990 - 2000,English
14002,1990 - 2000,1998
14003,1998,"П’юзо, Маріо: Останній дон: Роман, № 01"
14004,1990 - 2000,USA. Literature in English
14005,1990 - 2000,English
14006,1990 - 2000,1998
14007,1998,"П’юзо, Маріо: Останній дон: Роман, № 02"
14008,1990 - 2000,USA. Literature in English
14009,1990 - 2000,English
14010,1990 - 2000,1998
14011,1998,"П’юзо, Маріо: Останній дон: Роман, № 03"
14012,1990 - 2000,USA. Literature in English
14013,1990 - 2000,English
14014,1990 - 2000,1998
14015,1998,"П’юзо, Маріо: Останній дон: Роман, № 04"
14016,1970 - 1980,USA. Literature in English
14017,1970 - 1980,English
14018,1970 - 1980,1973
14019,1973,"П’юзо, Маріо: Хрещений батько: Роман, № 10"
14020,1970 - 1980,USA. Literature in English
14021,1970 - 1980,English
14022,1970 - 1980,1973
14023,1973,"П’юзо, Маріо: Хрещений батько: Роман, № 11"
14024,1970 - 1980,USA. Literature in English
14025,1970 - 1980,English
14026,1970 - 1980,1973
14027,1973,"П’юзо, Маріо: Хрещений батько: Роман, № 12"
14028,1970 - 1980,USA. Literature in English
14029,1970 - 1980,English
14030,1970 - 1980,1974
14031,1974,"П’юзо, Маріо: Хрещений батько: Роман, № 01"
14032,1970 - 1980,USA. Literature in English
14033,1970 - 1980,English
14034,1970 - 1980,1978
14035,1978,"Ред-Клауд, Фред: Біла людина сказала мені: [Вірш], № 11"
14036,1970 - 1980,USA. Literature in English
14037,1970 - 1980,English
14038,1970 - 1980,1976
14039,1976,"Редберд, Дюк: Мій шлях, № 07"
14040,1970 - 1980,USA. Literature in English
14041,1970 - 1980,English
14042,1970 - 1980,1976
14043,1976,"Редберд, Дюк: Тютюн обпалює: [Вірші], № 07"
14044,1980 - 1990,USA. Literature in English
14045,1980 - 1990,English
14046,1980 - 1990,1987
14047,1987,"Рейнолдс, Мак: Концентратор нещасть: Оповідання, № 11"
14048,1970 - 1980,USA. Literature in English
14049,1970 - 1980,English
14050,1970 - 1980,1972
14051,1972,"Ретке, Теодор: [Поезії], № 02"
14052,1970 - 1980,USA. Literature in English
14053,1970 - 1980,English
14054,1970 - 1980,1972
14055,1972,"Ріпланскі, Наомі: Добрий трудовий день текстильниці в США: [Вірш], № 02"
14056,1970 - 1980,USA. Literature in English
14057,1970 - 1980,English
14058,1970 - 1980,1972
14059,1972,"Ріс, Сем: По чийому боці ти?: [Вірш], № 02"
14060,1990 - 2000,USA. Literature in English
14061,1990 - 2000,English
14062,1990 - 2000,1994
14063,1994,"Річі, Джек: Золотий телець: Оповідання, № 09"
14064,1990 - 2000,USA. Literature in English
14065,1990 - 2000,English
14066,1990 - 2000,1999
14067,1999,"Роббінс, Гарольд: Пірат: Роман, № 02"
14068,1990 - 2000,USA. Literature in English
14069,1990 - 2000,English
14070,1990 - 2000,1999
14071,1999,"Роббінс, Гарольд: Пірат: Роман, № 03"
14072,1990 - 2000,USA. Literature in English
14073,1990 - 2000,English
14074,1990 - 2000,1999
14075,1999,"Роббінс, Гарольд: Пірат: Роман, № 04"
14076,1990 - 2000,USA. Literature in English
14077,1990 - 2000,English
14078,1990 - 2000,1998
14079,1998,"Робі, Мері Лінн: Новорічний розпродаж: Оповідання, № 11"
14080,1980 - 1990,USA. Literature in English
14081,1980 - 1990,English
14082,1980 - 1990,1982
14083,1982,"Руні, Френк: Мотоциклісти: Оповідання, № 09"
14084,1980 - 1990,USA. Literature in English
14085,1980 - 1990,English
14086,1980 - 1990,1983
14087,1983,"Садовські, Енні: Міс Америка: [Вірш], № 08"
14088,1990 - 2000,USA. Literature in English
14089,1990 - 2000,English
14090,1990 - 2000,1994
14091,1994,"Саймон, Нійл: Хочу зніматися в кіно: Комедія, № 01"
14092,1960 - 1970,USA. Literature in English
14093,1960 - 1970,English
14094,1960 - 1970,1965
14095,1965,"Сакстон, Александр: Ясна павутинка в темряві: Роман, № 10"
14096,1960 - 1970,USA. Literature in English
14097,1960 - 1970,English
14098,1960 - 1970,1965
14099,1965,"Сакстон, Александр: Ясна павутинка в темряві: Роман, № 11"
14100,1960 - 1970,USA. Literature in English
14101,1960 - 1970,English
14102,1960 - 1970,1964
14103,1964,"Саллівен, Френк: Містер Арбатнот визначає, що таке кохання: Гумореска, № 04"
14104,1970 - 1980,USA. Literature in English
14105,1970 - 1980,English
14106,1970 - 1980,1978
14107,1978,"Самік: [Поезії], № 03"
14108,1970 - 1980,USA. Literature in English
14109,1970 - 1980,English
14110,1970 - 1980,1972
14111,1972,"Санчес, Соня: Поема про молодих: [Поезія], № 02"
14112,1970 - 1980,USA. Literature in English
14113,1970 - 1980,English
14114,1970 - 1980,1977
14115,1977,"Сароян, Вільям: Літо прегарного білого коня: Новела, № 03"
14116,1960 - 1970,USA. Literature in English
14117,1960 - 1970,English
14118,1960 - 1970,1963
14119,1963,"Сароян, Вільям: Любов, смерть, самопожертва і так далі: Оповідання, № 10"
14120,1960 - 1970,USA. Literature in English
14121,1960 - 1970,English
14122,1960 - 1970,1961
14123,1961,"Сароян, Вільям: Люди в печері: П’єса, № 04"
14124,1960 - 1970,USA. Literature in English
14125,1960 - 1970,English
14126,1960 - 1970,1968
14127,1968,"Сароян, Вільям: Сумна історія: Роман, № 01"
14128,1990 - 2000,USA. Literature in English
14129,1990 - 2000,English
14130,1990 - 2000,1996
14131,1996,"Світ, Джеф: За межею: Оповідання, № 02"
14132,1990 - 2000,USA. Literature in English
14133,1990 - 2000,English
14134,1990 - 2000,1995
14135,1995,"Селтцер, Девід: Знамення: Роман, № 01"
14136,1990 - 2000,USA. Literature in English
14137,1990 - 2000,English
14138,1990 - 2000,1995
14139,1995,"Селтцер, Девід: Знамення: Роман, № 02"
14140,1980 - 1990,USA. Literature in English
14141,1980 - 1990,English
14142,1980 - 1990,1982
14143,1982,"Семсон, Джоан: Аукціоніст: Роман, № 09"
14144,1980 - 1990,USA. Literature in English
14145,1980 - 1990,English
14146,1980 - 1990,1982
14147,1982,"Семсон, Джоан: Аукціоніст: Роман, № 10"
14148,1960 - 1970,USA. Literature in English
14149,1960 - 1970,English
14150,1960 - 1970,1966
14151,1966,"Сендберг, Карл: [Поезії], № 08"
14152,1970 - 1980,USA. Literature in English
14153,1970 - 1980,English
14154,1970 - 1980,1978
14155,1978,"Сент-Клер, Даррел Деніел: Моя школа-земля, № 11"
14156,1970 - 1980,USA. Literature in English
14157,1970 - 1980,English
14158,1970 - 1980,1978
14159,1978,"Сент-Клер, Даррел Деніел: Тільки серед тиші: [Вірші], № 11"
14160,1970 - 1980,USA. Literature in English
14161,1970 - 1980,English
14162,1970 - 1980,1976
14163,1976,"Сігел, Ерік: Історія одного кохання: Роман, № 12"
14164,1990 - 2000,USA. Literature in English
14165,1990 - 2000,English
14166,1990 - 2000,1998
14167,1998,"Сігел, Ерік: Оліверова історія: Роман, № 5/6"
14168,1980 - 1990,USA. Literature in English
14169,1980 - 1990,English
14170,1980 - 1990,1980
14171,1980,"Сміт, Люсі: Обличчя злиднів: [Вірш], № 11"
14172,1970 - 1980,USA. Literature in English
14173,1970 - 1980,English
14174,1970 - 1980,1978
14175,1978,"Сміт, Річард: Назавжди й більше: [Вірш], № 11"
14176,1960 - 1970,USA. Literature in English
14177,1960 - 1970,English
14178,1960 - 1970,1963
14179,1963,"Стевіс, Беррі: Людина, що ніколи не вмирала: П’єса, № 03"
14180,1960 - 1970,USA. Literature in English
14181,1960 - 1970,English
14182,1960 - 1970,1964
14183,1964,"Стейнбек, Джон: Біла куріпка, № 05"
14184,1960 - 1970,USA. Literature in English
14185,1960 - 1970,English
14186,1960 - 1970,1964
14187,1964,"Стейнбек, Джон: Втеча, № 05"
14188,1960 - 1970,USA. Literature in English
14189,1960 - 1970,English
14190,1960 - 1970,1964
14191,1964,"Стейнбек, Джон: Династія Уайтсайдів, № 05"
14192,1960 - 1970,USA. Literature in English
14193,1960 - 1970,English
14194,1960 - 1970,1964
14195,1964,"Стейнбек, Джон: Дім Пета Гамберта, № 05"
14196,1960 - 1970,USA. Literature in English
14197,1960 - 1970,English
14198,1960 - 1970,1964
14199,1964,"Стейнбек, Джон: Свята діва Кеті, № 05"
14200,1960 - 1970,USA. Literature in English
14201,1960 - 1970,English
14202,1960 - 1970,1964
14203,1964,"Стейнбек, Джон: Хризантеми, № 05"
14204,1960 - 1970,USA. Literature in English
14205,1960 - 1970,English
14206,1960 - 1970,1964
14207,1964,"Стейнбек, Джон: Сестри Лопес: Оповідання, № 05"
14208,1960 - 1970,USA. Literature in English
14209,1960 - 1970,English
14210,1960 - 1970,1965
14211,1965,"Стейнбек, Джон: Консервний Рад: Повість, № 01"
14212,1990 - 2000,USA. Literature in English
14213,1990 - 2000,English
14214,1990 - 2000,1992
14215,1992,"Стендінг, Сью: [Поезії], № 5/6"
14216,1980 - 1990,USA. Literature in English
14217,1980 - 1990,English
14218,1980 - 1990,1983
14219,1983,"Стіл, Джеймс: Екологія: [Вірш], № 08"
14220,1990 - 2000,USA. Literature in English
14221,1990 - 2000,English
14222,1990 - 2000,1991
14223,1991,"Стоун, Ірвінг: Бунт розуму: Роман, № 04"
14224,1990 - 2000,USA. Literature in English
14225,1990 - 2000,English
14226,1990 - 2000,1991
14227,1991,"Стоун, Ірвінг: Бунт розуму: Роман, № 05"
14228,1960 - 1970,USA. Literature in English
14229,1960 - 1970,English
14230,1960 - 1970,1966
14231,1966,"Стоун, Ірвінг: Як створювалась «Пієта»: Повість, № 02"
14232,1960 - 1970,USA. Literature in English
14233,1960 - 1970,English
14234,1960 - 1970,1966
14235,1966,"Стоун, Ірвінг: Як створювалась «Пієта»: Повість, № 03"
14236,1960 - 1970,USA. Literature in English
14237,1960 - 1970,English
14238,1960 - 1970,1963
14239,1963,"Стоун, Філіп Олстон: Тікати нікуди: Роман, № 11"
14240,1960 - 1970,USA. Literature in English
14241,1960 - 1970,English
14242,1960 - 1970,1963
14243,1963,"Стоун, Філіп Олстон: Тікати нікуди: Роман, № 12"
14244,1980 - 1990,USA. Literature in English
14245,1980 - 1990,English
14246,1980 - 1990,1982
14247,1982,"Суонн, Томас Бернетт: Ніч єдинорога: Оповідання, № 07"
14248,1980 - 1990,USA. Literature in English
14249,1980 - 1990,English
14250,1980 - 1990,1981
14251,1981,"Ташнет, Леонард: Практична людина: Оповідання, № 01"
14252,1970 - 1980,USA. Literature in English
14253,1970 - 1980,English
14254,1970 - 1980,1976
14255,1976,"Твен, Марк: Афоризми, № 09"
14256,1960 - 1970,USA. Literature in English
14257,1960 - 1970,English
14258,1960 - 1970,1966
14259,1966,"Торбер [Тербер; Тарбер], Джеймс: Дві баєчки: Миролюбний Мангуст, № 06"
14260,1960 - 1970,USA. Literature in English
14261,1960 - 1970,English
14262,1960 - 1970,1966
14263,1966,"Торбер [Тербер; Тарбер], Джеймс: Про тигра, який хотів бути царем, № 06"
14264,1980 - 1990,USA. Literature in English
14265,1980 - 1990,English
14266,1980 - 1990,1984
14267,1984,"Торбер [Тербер; Тарбер], Джеймс: Док Марло: Оповідання, № 05"
14268,1970 - 1980,USA. Literature in English
14269,1970 - 1980,English
14270,1970 - 1980,1970
14271,1970,"Торбер [Тербер; Тарбер], Джеймс: Обранець народу: Оповідання, № 05"
14272,1980 - 1990,USA. Literature in English
14273,1980 - 1990,English
14274,1980 - 1990,1982
14275,1982,"Торбер [Тербер; Тарбер], Джеймс: Таємне життя Уолтера Миті: Оповідання, № 04"
14276,1960 - 1970,USA. Literature in English
14277,1960 - 1970,English
14278,1960 - 1970,1967
14279,1967,"Торбер [Тербер; Тарбер], Джеймс: Тринадцять дзигарів, № 09"
14280,1960 - 1970,USA. Literature in English
14281,1960 - 1970,English
14282,1960 - 1970,1967
14283,1967,"Торбер [Тербер; Тарбер], Джеймс: Дивовижне «О»: Оповідання, № 09"
14284,1970 - 1980,USA. Literature in English
14285,1970 - 1980,English
14286,1970 - 1980,1972
14287,1972,"Трейсі, Вірджінія: Громовержець: Оповідання, № 10"
14288,1980 - 1990,USA. Literature in English
14289,1980 - 1990,English
14290,1980 - 1990,1983
14291,1983,"Троуп, Квінсі: Звідники: [Вірш], № 08"
14292,1970 - 1980,USA. Literature in English
14293,1970 - 1980,English
14294,1970 - 1980,1978
14295,1978,"Тсо, Юджін: Я голодний: [Вірш], № 11"
14296,1970 - 1980,USA. Literature in English
14297,1970 - 1980,English
14298,1970 - 1980,1978
14299,1978,"Тукту: Діти Нунаміут: [Вірш], № 03"
14300,1990 - 2000,USA. Literature in English
14301,1990 - 2000,English
14302,1990 - 2000,1997
14303,1997,"Уебб, Джек: Любовний лист: Оповідання, № 11/12"
14304,1970 - 1980,USA. Literature in English
14305,1970 - 1980,English
14306,1970 - 1980,1974
14307,1974,"Уелті, Юдора: Дочка оптиміста: Повість, № 08"
14308,1980 - 1990,USA. Literature in English
14309,1980 - 1990,English
14310,1980 - 1990,1981
14311,1981,"Уест, Морріс: Репортаж: Роман, № 07"
14312,1970 - 1980,USA. Literature in English
14313,1970 - 1980,English
14314,1970 - 1980,1977
14315,1977,"Уїльямс, Теннесі: З десятим серпня!: Новела, № 03"
14316,1960 - 1970,USA. Literature in English
14317,1960 - 1970,English
14318,1960 - 1970,1969
14319,1969,"Уїтмен, Уолт: З «Пісні битого шляху», № 05"
14320,1960 - 1970,USA. Literature in English
14321,1960 - 1970,English
14322,1960 - 1970,1969
14323,1969,"Уїтмен, Уолт: Вночі на березі моря: [Вірші], № 05"
14324,1970 - 1980,USA. Literature in English
14325,1970 - 1980,English
14326,1970 - 1980,1977
14327,1977,"Уїтмен, Уолт: Пісня про себе: Поема, № 02"
14328,1990 - 2000,USA. Literature in English
14329,1990 - 2000,English
14330,1990 - 2000,1997
14331,1997,"Уїтмен, Уолт: Поезії: 3 кн. «Листя трави», № 10"
14332,1960 - 1970,USA. Literature in English
14333,1960 - 1970,English
14334,1960 - 1970,1962
14335,1962,"Уїтмен, Уолт: Чую, співає Америка, № 10"
14336,1960 - 1970,USA. Literature in English
14337,1960 - 1970,English
14338,1960 - 1970,1962
14339,1962,"Уїтмен, Уолт: Поетам, що будуть: [Вірші], № 10"
14340,1960 - 1970,USA. Literature in English
14341,1960 - 1970,English
14342,1960 - 1970,1962
14343,1962,"Уїтмен, Уолт: Я співаю про тіло електричне: Поема, № 10"
14344,1980 - 1990,USA. Literature in English
14345,1980 - 1990,English
14346,1980 - 1990,1982
14347,1982,"Уокер, Івен: Випадок у Гарлемі: Оповідання, № 09"
14348,1960 - 1970,USA. Literature in English
14349,1960 - 1970,English
14350,1960 - 1970,1964
14351,1964,"Уокер, Маргарет: Для мого народу: [Поезія], № 06"
14352,1980 - 1990,USA. Literature in English
14353,1980 - 1990,English
14354,1980 - 1990,1983
14355,1983,"Фармер, Філіп Хосе: Наперекір тількивівторковому світу: Оповідання, № 06"
14356,1990 - 2000,USA. Literature in English
14357,1990 - 2000,English
14358,1990 - 2000,1991
14359,1991,"Фелсен, Генрі Грегор: Самогубство з сотнею доларів: Оповідання, № 04"
14360,1990 - 2000,USA. Literature in English
14361,1990 - 2000,English
14362,1990 - 2000,1996
14363,1996,"Фінні, Джек: Я боюся: Оповідання, № 5/6"
14364,1990 - 2000,USA. Literature in English
14365,1990 - 2000,English
14366,1990 - 2000,1996
14367,1996,"Фіцджеральд, Френсіс Скотт: Відпущення гріхів: Оповідання, № 8/9"
14368,1970 - 1980,USA. Literature in English
14369,1970 - 1980,English
14370,1970 - 1980,1976
14371,1976,"Фіцджеральд, Френсіс Скотт: Повернення до Вавілона: Оповідання, № 06"
14372,1980 - 1990,USA. Literature in English
14373,1980 - 1990,English
14374,1980 - 1990,1982
14375,1982,"Фіш, Роберт: Напад на літак: Оповідання, № 09"
14376,1980 - 1990,USA. Literature in English
14377,1980 - 1990,English
14378,1980 - 1990,1986
14379,1986,"Фолкнер, Вільям: В свою останню годину: Роман, № 06"
14380,1970 - 1980,USA. Literature in English
14381,1970 - 1980,English
14382,1970 - 1980,1975
14383,1975,"Фолкнер, Вільям: Домашнє вогнище: Повість, № 07"
14384,1970 - 1980,USA. Literature in English
14385,1970 - 1980,English
14386,1970 - 1980,1977
14387,1977,"Фолкнер, Вільям: Еллі: Новела, № 03"
14388,1970 - 1980,USA. Literature in English
14389,1970 - 1980,English
14390,1970 - 1980,1975
14391,1975,"Фолкнер, Вільям: Жила собі королева: Оповідання, № 07"
14392,1970 - 1980,USA. Literature in English
14393,1970 - 1980,English
14394,1970 - 1980,1971
14395,1971,"Фолкнер, Вільям: Золотий край, № 10"
14396,1970 - 1980,USA. Literature in English
14397,1970 - 1980,English
14398,1970 - 1980,1971
14399,1971,"Фолкнер, Вільям: Завтра і позавтра...: Оповідання, № 10"
14400,1970 - 1980,USA. Literature in English
14401,1970 - 1980,English
14402,1970 - 1980,1970
14403,1970,"Фолкнер, Вільям: Крадії: Роман, № 01"
14404,1970 - 1980,USA. Literature in English
14405,1970 - 1980,English
14406,1970 - 1980,1970
14407,1970,"Фолкнер, Вільям: Крадії: Роман, № 02"
14408,1990 - 2000,USA. Literature in English
14409,1990 - 2000,English
14410,1990 - 2000,1997
14411,1997,"Фолкнер, Вільям: Крапчасті коні: Оповідання, № 3/4"
14412,1960 - 1970,USA. Literature in English
14413,1960 - 1970,English
14414,1960 - 1970,1960
14415,1960,"Фолкнер, Вільям: 5 оповідань: Пенсільванський вокзал, № 04"
14416,1960 - 1970,USA. Literature in English
14417,1960 - 1970,English
14418,1960 - 1970,1960
14419,1960,"Фолкнер, Вільям: Два солдати, № 04"
14420,1960 - 1970,USA. Literature in English
14421,1960 - 1970,English
14422,1960 - 1970,1960
14423,1960,"Фолкнер, Вільям: Не загинуть!, № 04"
14424,1960 - 1970,USA. Literature in English
14425,1960 - 1970,English
14426,1960 - 1970,1960
14427,1960,"Фолкнер, Вільям: Велетні, № 04"
14428,1960 - 1970,USA. Literature in English
14429,1960 - 1970,English
14430,1960 - 1970,1960
14431,1960,"Фолкнер, Вільям: І все буде чудово, № 04"
14432,1960 - 1970,USA. Literature in English
14433,1960 - 1970,English
14434,1960 - 1970,1962
14435,1962,"Фолкнер, Вільям: Старий: Повість, № 09"
14436,1990 - 2000,USA. Literature in English
14437,1990 - 2000,-
14438,1990 - 2000,1998
14439,1998,"Фрост, Роберт: Замок у вечірньому лісі, № 11"
14440,1990 - 2000,USA. Literature in English
14441,1990 - 2000,-
14442,1990 - 2000,1998
14443,1998,"Фрост, Роберт: Обтрушений сніг: [Вірші], № 11"
14444,1960 - 1970,USA. Literature in English
14445,1960 - 1970,English
14446,1960 - 1970,1964
14447,1964,"Фрост, Роберт: [Поезії], № 07"
14448,1970 - 1980,USA. Literature in English
14449,1970 - 1980,English
14450,1970 - 1980,1974
14451,1974,"Фрост, Роберт: [Поезії], № 03"
14452,1980 - 1990,USA. Literature in English
14453,1980 - 1990,-
14454,1980 - 1990,1983
14455,1983,"Фрост, Роберт: Сонети, № 02"
14456,1990 - 2000,USA. Literature in English
14457,1990 - 2000,English
14458,1990 - 2000,1991
14459,1991,"Хайнлайн, Роберт: А ще ми прогулюємо собак: Оповідання, № 10"
14460,1990 - 2000,USA. Literature in English
14461,1990 - 2000,English
14462,1990 - 2000,1991
14463,1991,"Хантер, Івен: День народження: Оповідання, № 12"
14464,1960 - 1970,USA. Literature in English
14465,1960 - 1970,English
14466,1960 - 1970,1967
14467,1967,"Хантер, Івен: Шкільні джунглі: Роман, № 01"
14468,1960 - 1970,USA. Literature in English
14469,1960 - 1970,English
14470,1960 - 1970,1964
14471,1964,"Хейден, Роберт Е: Промова: [Вірш], № 06"
14472,1970 - 1980,USA. Literature in English
14473,1970 - 1980,English
14474,1970 - 1980,1972
14475,1972,"Хейлі, Артур: Готель: Роман, № 08"
14476,1970 - 1980,USA. Literature in English
14477,1970 - 1980,English
14478,1970 - 1980,1972
14479,1972,"Хейлі, Артур: Готель: Роман, № 09"
14480,1980 - 1990,USA. Literature in English
14481,1980 - 1990,English
14482,1980 - 1990,1985
14483,1985,"Хелман, Ліліан: Джулія: Повість, № 05"
14484,1960 - 1970,USA. Literature in English
14485,1960 - 1970,English
14486,1960 - 1970,1969
14487,1969,"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 04"
14488,1960 - 1970,USA. Literature in English
14489,1960 - 1970,English
14490,1960 - 1970,1969
14491,1969,"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 05"
14492,1960 - 1970,USA. Literature in English
14493,1960 - 1970,English
14494,1960 - 1970,1969
14495,1969,"Хемінгуей, Ернест: За ким сумує дзвін: Роман, № 06"
14496,1970 - 1980,USA. Literature in English
14497,1970 - 1980,English
14498,1970 - 1980,1979
14499,1979,"Хемінгуей, Ернест: Після дощу: Новела, № 07"
14500,1970 - 1980,USA. Literature in English
14501,1970 - 1980,English
14502,1970 - 1980,1979
14503,1979,"Хемінгуей, Ернест: Постріл: Новела, № 07"
14504,1970 - 1980,USA. Literature in English
14505,1970 - 1980,English
14506,1970 - 1980,1975
14507,1975,"Хемінгуей, Ернест: Три постріли, № 04"
14508,1970 - 1980,USA. Literature in English
14509,1970 - 1980,English
14510,1970 - 1980,1975
14511,1975,"Хемінгуей, Ернест: Індіанці виїхали, № 04"
14512,1970 - 1980,USA. Literature in English
14513,1970 - 1980,English
14514,1970 - 1980,1975
14515,1975,"Хемінгуей, Ернест: Останній незайманий край, № 04"
14516,1970 - 1980,USA. Literature in English
14517,1970 - 1980,English
14518,1970 - 1980,1975
14519,1975,"Хемінгуей, Ернест: Переїзд через Міссісіпі, № 04"
14520,1970 - 1980,USA. Literature in English
14521,1970 - 1980,English
14522,1970 - 1980,1975
14523,1975,"Хемінгуей, Ернест: Остання ніч у морі, № 04"
14524,1970 - 1980,USA. Literature in English
14525,1970 - 1980,English
14526,1970 - 1980,1975
14527,1975,"Хемінгуей, Ернест: День одруження, № 04"
14528,1970 - 1980,USA. Literature in English
14529,1970 - 1980,English
14530,1970 - 1980,1975
14531,1975,"Хемінгуей, Ернест: Про творчість: 3 неопублікованого, № 04"
14532,1990 - 2000,USA. Literature in English
14533,1990 - 2000,English
14534,1990 - 2000,1991
14535,1991,"Хеммет, Дешіл: Королівські клопоти: Повість, № 09"
14536,1960 - 1970,USA. Literature in English
14537,1960 - 1970,English
14538,1960 - 1970,1965
14539,1965,"Хілл, Джо: Кейсі Джонс - штрейкбрехер: [Вірш], № 12"
14540,1970 - 1980,USA. Literature in English
14541,1970 - 1980,English
14542,1970 - 1980,1979
14543,1979,"Хілл, Джо: Люди праці, повставайте, № 11"
14544,1970 - 1980,USA. Literature in English
14545,1970 - 1980,English
14546,1970 - 1980,1979
14547,1979,"Хілл, Джо: Доведетьсяйти в солдати: Пісні, № 11"
14548,1990 - 2000,USA. Literature in English
14549,1990 - 2000,English
14550,1990 - 2000,1991
14551,1991,"Холдінг, Джеймс: Пристойна ціна за картину: Оповідання, № 02"
14552,1980 - 1990,USA. Literature in English
14553,1980 - 1990,English
14554,1980 - 1990,1981
14555,1981,"Хорген, Пол: Медовий місяць по-американському: Оповідання, № 07"
14556,1990 - 2000,USA. Literature in English
14557,1990 - 2000,English
14558,1990 - 2000,1992
14559,1992,"Хоу, Марі: [Поезії], № 5/6"
14560,1960 - 1970,USA. Literature in English
14561,1960 - 1970,English
14562,1960 - 1970,1969
14563,1969,"Х’юз, Ленгстон: Ленін: [Вірш], № 04"
14564,1970 - 1980,USA. Literature in English
14565,1970 - 1980,English
14566,1970 - 1980,1970
14567,1970,"Х’юз, Ленгстон: Ленін іде по планеті: [Вірш], № 04"
14568,1980 - 1990,USA. Literature in English
14569,1980 - 1990,-
14570,1980 - 1990,1987
14571,1987,"Х’юз, Ленгстон: Негр: [Вірш], № 07"
14572,1960 - 1970,USA. Literature in English
14573,1960 - 1970,English
14574,1960 - 1970,1964
14575,1964,"Х’юз, Ленгстон: Негр говорить про ріки, № 06"
14576,1960 - 1970,USA. Literature in English
14577,1960 - 1970,English
14578,1960 - 1970,1964
14579,1964,"Х’юз, Ленгстон: В готельному сяйві: [Вірші], № 06"
14580,1970 - 1980,USA. Literature in English
14581,1970 - 1980,English
14582,1970 - 1980,1972
14583,1972,"Х’юз, Ленгстон: Нехай Америка буде знов Америкою: [Вірш], № 02"
14584,1980 - 1990,USA. Literature in English
14585,1980 - 1990,English
14586,1980 - 1990,1980
14587,1980,"Х’юз, Ленгстон: [Поезії], № 11"
14588,1980 - 1990,USA. Literature in English
14589,1980 - 1990,English
14590,1980 - 1990,1987
14591,1987,"Х’юз, Ленгстон: [Поезії], № 11"
14592,1970 - 1980,USA. Literature in English
14593,1970 - 1980,English
14594,1970 - 1980,1970
14595,1970,"Х’юз, Ленгстон: Розповіді Сімпла: Оповідання: Перепис, № 07"
14596,1970 - 1980,USA. Literature in English
14597,1970 - 1980,English
14598,1970 - 1980,1970
14599,1970,"Х’юз, Ленгстон: Порожні будинки, № 07"
14600,1970 - 1980,USA. Literature in English
14601,1970 - 1980,English
14602,1970 - 1980,1970
14603,1970,"Х’юз, Ленгстон: Яхти, № 07"
14604,1970 - 1980,USA. Literature in English
14605,1970 - 1980,English
14606,1970 - 1980,1970
14607,1970,"Х’юз, Ленгстон: Пригоди гарантовано, № 07"
14608,1970 - 1980,USA. Literature in English
14609,1970 - 1980,English
14610,1970 - 1980,1970
14611,1970,"Х’юз, Ленгстон: Золота брама, № 07"
14612,1970 - 1980,USA. Literature in English
14613,1970 - 1980,English
14614,1970 - 1980,1970
14615,1970,"Х’юз, Ленгстон: Співачки від Євангелія, № 07"
14616,1970 - 1980,USA. Literature in English
14617,1970 - 1980,English
14618,1970 - 1980,1970
14619,1970,"Х’юз, Ленгстон: Бомбосховища, № 07"
14620,1970 - 1980,USA. Literature in English
14621,1970 - 1980,English
14622,1970 - 1980,1970
14623,1970,"Х’юз, Ленгстон: Ліворуч від господа, № 07"
14624,1970 - 1980,USA. Literature in English
14625,1970 - 1980,English
14626,1970 - 1980,1970
14627,1970,"Х’юз, Ленгстон: Конкурс, № 07"
14628,1970 - 1980,USA. Literature in English
14629,1970 - 1980,English
14630,1970 - 1980,1970
14631,1970,"Х’юз, Ленгстон: Статути і статуї, № 07"
14632,1970 - 1980,USA. Literature in English
14633,1970 - 1980,English
14634,1970 - 1980,1970
14635,1970,"Х’юз, Ленгстон: Виставляймося, № 07"
14636,1970 - 1980,USA. Literature in English
14637,1970 - 1980,English
14638,1970 - 1980,1970
14639,1970,"Х’юз, Ленгстон: Дядько Сем, № 07"
14640,1990 - 2000,USA. Literature in English
14641,1990 - 2000,English
14642,1990 - 2000,1991
14643,1991,"Чандлер [Чендлер], Реймонд: Завіса: Повість, № 12"
14644,1980 - 1990,USA. Literature in English
14645,1980 - 1990,English
14646,1980 - 1990,1988
14647,1988,"Чандлер [Чендлер], Реймонд: Золоті рибки: Повість, № 01"
14648,1990 - 2000,USA. Literature in English
14649,1990 - 2000,English
14650,1990 - 2000,1992
14651,1992,"Чандлер [Чендлер], Реймонд: Олівець: Повість, № 3/4"
14652,1980 - 1990,USA. Literature in English
14653,1980 - 1990,-
14654,1980 - 1990,1980
14655,1980,"Чандлер [Чендлер], Реймонд: Постріли в ресторані Сірано: Повість lang англ, № 06"
14656,1980 - 1990,USA. Literature in English
14657,1980 - 1990,English
14658,1980 - 1990,1989
14659,1989,"Чандлер [Чендлер], Реймонд: Убивство під час дощу: Повість, № 11"
14660,1930 - 1940,USA. Literature in English
14661,1930 - 1940,-
14662,1930 - 1940,1932
