id,source,target,color
"Фаес, Урс: [Поезії], № 02",1980 - 1990,Italian,#E59298
"Фріш, Макс: Китайський мур: Фарс, № 04",1980 - 1990,1984,#F2A2A62
"Фріш, Макс: Штіллер: Роман, № 03",1984,"Монтале, Еудженіо: [Поезії], № 08",#84B5B57
"Фріш, Макс: Штіллер: Роман, № 04",1960 - 1970,Italy,#D1605E
"Фріш, Макс: Штіллер: Роман, № 05",1960 - 1970,Italian,#E59299
"Холер, Франц: Околиця Остермундігена: Оповідання, № 10",1960 - 1970,1964,#F2A2A63
"Холер, Франц: Реванш: Оповідання, № 04",1964,"Монтелла, Карло: Прогулянка у неділю: Оповідання, № 12",#84B5B101
"Цоллінгер, Альбін: [Поезії], № 03",1960 - 1970,Italy,#84B5B102
"Штайгер, Отто: Мандрівка до моря: Роман, № 03",1960 - 1970,Italian,#D1605E
"Штайгер, Отто: Руденц, № 06",1960 - 1970,1961,#E59299
"Штайгер, Отто: Порожня пляшка: Оповідання, № 06",1961,"Монтелла, Карло: Той, хто від’їжджає на світанні: Оповідання, № 09",#F2A2A63
"Штайнер, Йорг: Можливо, це була жирафа: Оповідання, № 06",1970 - 1980,Italy,#84B5B58
"Штайнер, Йорг: Нагода для втечі: Оповідання, № 04",1970 - 1980,Italian,#D1605E
"Штеенкен, Едуард: Не шукайте тут щастя, № 09",1970 - 1980,1978,#E59300
"Штеенкен, Едуард: Бджолиний мед і паркетне дерево, № 09",1978,"Моравіа, Альберто: Гра, № 02",#F2A2A64
"Штеенкен, Едуард: Семінар, № 09",1970 - 1980,Italy,#84B5B4
"Штеенкен, Едуард: Піхере-77, № 09",1970 - 1980,Italian,#84B5B3
"Штеенкен, Едуард: Щастя у кронах дерев: Гумор, оповід, № 09",1970 - 1980,1978,#84B5B3
Switzerland. Literature in French,1978,"Моравіа, Альберто: Хай живе Верді!, № 02",#D1605E
"Віредаз, Крістіан: [Поезії], № 02",1970 - 1980,Italy,#E59297
"Вуазар, Александр: [Поезії], № 03",1970 - 1980,Italian,#F2A2A61
"Жакоте, Філіпп: [Поезії], № 03",1970 - 1980,1978,#84B5B56
"Перреле, Олів’є: [Поезії*], № 03",1978,"Моравіа, Альберто: Жінка-невидимка, № 02",#D1605E
"Рамю, Шарль-Фердінанд: [Поезії], № 03",1970 - 1980,Italy,#E59298
"Санчі, Мадлен: Мандрівка з Мітелем Бютором: Урив, з кн, № 02",1970 - 1980,Italian,#F2A2A62
"Трольє, Жільбер: [Поезії*], № 03",1970 - 1980,1978,#84B5B102
Switzerland. Literature in Spanish,1978,"Моравіа, Альберто: Уява: Оповідання, № 02",#84B5B103
"К’єза, Франческо: «Народе, твій закон -лише в тобі...», № 03",1960 - 1970,Italy,#D1605E
"К’єза, Франческо: «Весняний вечір дихає весною...»: [Поезії], № 03",1960 - 1970,Italian,#E59298
"Машьоні, Грицько: Горкгаймерові горобці: [Вірш], № 02",1960 - 1970,1960,#F2A2A62
"Моска, Анна: Гаряча пора: Повість, № 10",1960,"Моравіа, Альберто: За рекомендацією, № 12",#84B5B57
Switzerland. Literature in Rhaeto-Romance Language,1960 - 1970,Italy,#D1605E
Rhaeto-Romance,1960 - 1970,Italian,#E59299
"Барблан, Гуденх: A la Lingua matern, № 02",1960 - 1970,1960,#F2A2A63
"Барблан, Гуденх: До материнської* мови [Поезії], № 02",1960,"Моравіа, Альберто: Життя задля танців, № 12",#84B5B101
"Кадоч, Петер: Досить світла: [Вірш], № 02",1960 - 1970,Italy,#84B5B102
"Пеер, Андрі [Ендрі]: [Поезії], № 03",1960 - 1970,Italian,#D1605E
"Пеер, Андрі [Ендрі]: «Час поза часом», № 02",1960 - 1970,1960,#E59299
"Пеер, Андрі [Ендрі]: «З легкою ношею»: [Поезії], № 02",1960,"Моравіа, Альберто: Як я хотів забити його, № 12",#F2A2A63
"Планта, Армон: Благословення: [Вірш], № 02",1960 - 1970,Italy,#84B5B58
"Фамос, Луїза: [Поезії], № 02",1960 - 1970,Italian,#D1605E
"Чарнер, Джон: Козуля: [Вірш], № 02",1960 - 1970,1960,#E59300
"Шпеша, Ендрі: «Себе шукав десь у тканні важкім...», № 02",1960,"Моравіа, Альберто: Віддячив, № 12",#F2A2A64
"Шпеша, Ендрі: «Безупинно запал глибокий...»: [Поезії], № 02",1960 - 1970,Italy,#84B5B55
Sri Lanka,1960 - 1970,Italian,#D1605E
"Вітана, Гунасена: Ось таке кохання...: Оповідання, № 09",1960 - 1970,1960,#E59297
"Вітана, Гунасена: Хочеш жити - живи: Оповідання, № 07",1960,"Моравіа, Альберто: Операція Паскваліно, № 12",#F2A2A61
"Yugoslavia(Serbia, Montenegro, Bosnia)",1960 - 1970,Italy,#84B5B56
"Андрич, Іво: Ex ponto: [Вірші у прозі], № 01",1960 - 1970,Italian,#D1605E
"Андрич, Іво: [Поезії], № 07",1960 - 1970,1960,#E59298
"Баневич, Мірко: [Поезії], № 03",1960,"Моравіа, Альберто: Китайська ваза, № 12",#F2A2A62
"Бркович, Єврем: Не спить лише Дніпро і я: [Вірш], № 11",1960 - 1970,Italy,#84B5B102
"Вешович, Радоня: Спазма доби, № 01",1960 - 1970,Italian,#84B5B103
"Вешович, Радоня: Що я скажу твоїй матусі: [Вірші], № 01",1960 - 1970,1960,#D1605E
"Воїнович, Олександр: Вигнанець: Роман, № 07",1960,"Моравіа, Альберто: Студент: Оповідання, № 12",#E59298
"Воїнович, Олександр: Кровце ще не все: Роман, № 05",1990 - 2000,Italy,#F2A2A62
"Вулевич, Чедо: Палата № 23: Оповідання, № 06",1990 - 2000,Italian,#84B5B57
"Джеркович, Момчило: Vita nuova: [Вірш], № 04",1990 - 2000,1992,#D1605E
"Джеркович, Момчило: Зустріч з Маяковським: [Вірш], № 11",1992,"Моравіа, Альберто: Увага до жінки: Роман, № 12",#E59299
"Джерчеку, Енвер: Смерть - ще не останнє моє слово: [Вірш], № 11",1920 - 1930,Italy,#F2A2A63
"Джонович, Янко: Чорні негри й чорногорці, № 03",1920 - 1930,Italian,#84B5B101
"Джонович, Янко: Країна: [Вірші], № 03",1920 - 1930,1929,#84B5B102
"Дончевич, Іван: П’ятеро: Оповідання, № 05",1929,"Негрі, Ада: Без притулку: [Вірш], № 13",#D1605E
"Зогович, Радован: Апокриф: [Вірш], № 01",1980 - 1990,Italy,#E59299
"Зогович, Радован: [Поезії], № 03",1980 - 1990,Italian,#F2A2A63
"Ісакович, Антоніє: Берлін Kaputt: Оповідання, № 09",1980 - 1990,1982,#84B5B58
"Ісакович, Антоніє: Двоє: Оповідання, № 11",1982,"Ньєво, Станіслав: Луг на морському дні: Роман, № 08",#D1605E
"Калич, Душко: Метелики: Оповідання, № 04",1990 - 2000,Italy,#E59300
"Калич, Душко: Недокурок, № 10",1990 - 2000,Italian,#F2A2A64
"Калич, Душко: Сніжинки: Оповідання, № 10",1990 - 2000,1990,#84B5B55
"Капор, Момо: Боїнг-боїнг: Оповідання, № 07",1990,"Оренго, Ніно: Місячні п’яниці: [Вірш], № 06",#D1605E
"Капор, Момо: Кінотеатр повторного фільму, о третій, № 03",1980 - 1990,Italy,#E59297
"Капор, Момо: Актриса, № 03",1980 - 1990,Italian,#F2A2A61
"Капор, Момо: Несерйозна дитина: Корот. оповід, № 03",1980 - 1990,1980,#84B5B56
"Караджич, Вук Стефанович: Сербські народні пісні: Королевич Марко і Орел, № 11",1980,"Павезе, Чезаре: Моє село, № 10",#D1605E
"Караджич, Вук Стефанович: Одруження сестри Любовича, № 11",1980 - 1990,Italy,#E59298
"Костич, Душан: [Поезії], № 03",1980 - 1990,Italian,#F2A2A62
"Кош, Еріх: Щастя: Оповідання, № 09",1980 - 1990,1980,#84B5B102
"Краль, Міло: Батько, № 03",1980,"Павезе, Чезаре: Море, № 10",#84B5B103
"Краль, Міло: Помер добрий чоловік: [Вірші], № 03",1980 - 1990,Italy,#D1605E
"Куленович, Скендер: Лист червоноармійцю Миколі Івановичу Крилову: [Вірш], № 11",1980 - 1990,Italian,#E59298
"Куленович, Скендер: Стоянка - мати з Княжполя: Поема, № 01",1980 - 1990,1980,#F2A2A62
"Лалич, Михайло: Пустошня земля: Оповідання, № 11",1980,"Павезе, Чезаре: Кукурудзяне поле, № 10",#84B5B57
"Максимович, Десанка: Пам’ятка на вставання: [Вірш], № 02",1980 - 1990,Italy,#D1605E
"Максимович, Десанка: [Поезії], № 04",1980 - 1990,Italian,#E59299
"Максимович, Десанка: [Поезії], № 11",1980 - 1990,1980,#F2A2A63
"Максимович, Десанка: [Поезії], № 02",1980,"Павезе, Чезаре: Працювати - це втіха, № 10",#84B5B101
"Максимович, Десанка: [Поезії], № 05",1980 - 1990,Italy,#84B5B102
"Максимович, Десанка: [Поезії], № 09",1980 - 1990,Italian,#D1605E
"Максимович, Десанка: Сіно, № 11",1980 - 1990,1980,#E59299
"Максимович, Десанка: Все одно: [Вірші], № 11",1980,"Павезе, Чезаре: Наврочив, № 10",#F2A2A63
"Максимович, Десанка: Таїна, № 01",1980 - 1990,Italy,#84B5B58
"Максимович, Десанка: Білий цвіт, № 01",1980 - 1990,Italian,#D1605E
"Максимович, Десанка: Ранок, № 01",1980 - 1990,1980,#E59300
"Максимович, Десанка: Битва хмар, № 01",1980,"Павезе, Чезаре: Пустельник, № 10",#F2A2A64
"Максимович, Десанка: Забуття, № 01",1980 - 1990,Italy,#84B5B100
"Максимович, Десанка: Брама Заходу, № 01",1980 - 1990,Italian,#84B5B101
"Максимович, Десанка: У затінку неба: [Вірші у прозі], № 01",1980 - 1990,1980,#D1605E
"Маринович, Ване: Дринка: Драма, № 12",1980,"Павезе, Чезаре: Сільські свята, № 10",#E59300
"Маринович, Ване: Усмішка, № 06",1980 - 1990,Italy,#84B5B56
"Маринович, Ване: Хвилина мовчання, № 06",1980 - 1990,Italian,#D1605E
"Маринович, Ване: Сліди: Оповідання, № 06",1980 - 1990,1980,#E59298
"Маринович, Ване: Що запише фон Габленц: Оповідання, № 05",1980,"Павезе, Чезаре: Давнє ремесло, № 10",#F2A2A62
Serbian,1980 - 1990,Italy,#84B5B57
"Минич, Вук: Кактус: Оповідання, № 08",1980 - 1990,Italian,#D1605E
"Младенович, Танасіє: Перевіз на морі: [Вірш], № 11",1980 - 1990,1980,#E59299
"Младенович, Танасіє: [Поезії], № 10",1980,"Павезе, Чезаре: Місто, № 10",#F2A2A63
"Музбег, Іскендер: Боро і Раміз: [Вірш], № 11",1980 - 1990,Italy,#84B5B104
"Николич, Милан [Ніколич; Ніколіч; Мілані]: Батьківщина сонця: Урив, з поеми, № 11",1980 - 1990,Italian,#84B5B105
"Николич, Милан [Ніколич; Ніколіч; Мілані]: Перелесник космосу: [Вірш], № 12",1980 - 1990,1980,#D1605E
"Николич, Милан [Ніколич; Ніколіч; Мілані]: [Поезії], № 07",1980,"Павезе, Чезаре: Пшеничний лан, № 10",#E59299
"Николич, Милан [Ніколич; Ніколіч; Мілані]: Сонет Радянському Союзові, № 11",1980 - 1990,Italy,#F2A2A63
"Нушич Б: Комірне: Гумореска, № 10",1980 - 1990,Italian,#84B5B58
"Обренович-Делібашич, Віра: Чорна Гора: [Вірш], № 01",1980 - 1990,1980,#D1605E
"Павич, Милорад: Капелюх із риб’ячої шкіри: Любовна історія, № 07",1980,"Павезе, Чезаре: Роки: Новели, № 10",#E59300
"Пайкович, Радослав: «Мис Доброї Надії»: Оповідання, № 11",1970 - 1980,Italy,#F2A2A64
"Перович, Сретен: [Поезії], № 03",1970 - 1980,Italian,#84B5B103
"Попа, Васко: [Поезії], № 02",1970 - 1980,1979,#84B5B104
"Попа, Васко: [Поезії], № 12",1979,"Павезе, Чезаре: [Поезії], № 12",#D1605E
"Радулович, Йован: Сремська кукурудза: Оповідання, № 09",1990 - 2000,Italy,#E59300
"Раїчкович [Райчкович], Стеван: Кам’яна колисанка: [Вірш], № 01",1990 - 2000,Italian,#F2A2A64
"Раїчкович [Райчкович], Стеван: Мир: [Вірш], № 02",1990 - 2000,1994,#84B5B59
"Ракич, Мілан: [Поезії], № 01",1994,"Педролі, Амлето: Коло: [Вірш], № 02",#D1605E
"Самоковлія, Ісак: Ханка: Оповідання, № 02",1980 - 1990,Italy,#E59301
"Сарайлич, Ізет: Моя нічна музика, № 01",1980 - 1990,Italian,#F2A2A65
"Сарайлич, Ізет: Ліля була нашим чичероне до Сагурамі: [Вірші], № 01",1980 - 1990,1987,#84B5B4
"Сарайлич, Ізет: Народжені в 23-му, розстріляні в 42-му: [Вірш], № 11",1987,"Пеллікано, Ауреліо: Вулиця щастя: Оповідки, № 02",#84B5B3
"Сарайлич, Ізет: [Поезії], № 02",1960 - 1970,Italy,#84B5B3
"Селімович [Селимович], Меша: Дикі коні: Оповідання, № 11",1960 - 1970,Italian,#D1605E
"Селімович [Селимович], Меша: Стара собака, № 09",1960 - 1970,1963,#E59298
"Селімович [Селимович], Меша: Спогад про початок: Оповідання, № 09",1963,"Петрарка, Франческо: На смерть Лаури: Сонети, № 10",#F2A2A62
"Сіяков, Велько: М’яке серце: Оповідання, № 09",1970 - 1980,Italy,#84B5B57
"Хозич, Адван: Дисципліна: Гумореска, № 05",1970 - 1980,Italian,#D1605E
"Чопич, Бранко: Пісня загиблих бійців пролетарських бригад, № 11",1970 - 1980,1974,#E59299
"Чопич, Бранко: Преображення Гармаша Міле: Оповідання, № 11",1974,"Петрарка, Франческо: [Сонети], № 08",#F2A2A63
"Чопич, Бранко: Сестрині опанки: Оповідання, № 02",1980 - 1990,Italy,#84B5B104
"Шеклер, Богдан: Могила в Калні: Оповідання, № 09",1980 - 1990,Italian,#84B5B105
"Щепанович, Блажо: [Поезії], № 03",1980 - 1990,1983,#D1605E
"Щепанович, Бранимир: Покута: Роман, № 03",1983,"П’єрсанті, Умберто: [Поезії], № 05",#E59299
Jamaica,1980 - 1990,Italy,#F2A2A63
"Хірн, Джон: Сільська трагедія: Оповідання, № 07",1980 - 1990,Italian,#84B5B58
Japan,1980 - 1990,1987,#D1605E
Japanese,1987,"Пікколо, Лучо: [Поезії], № 06",#E59300
"Абе, Кобо: Людина-коробка: Роман, № 06",1990 - 2000,Italy,#F2A2A64
"Абе, Кобо: Прірва часу: Оповідання, № 06",1990 - 2000,Italian,#84B5B103
"Абе, Суміко: Оновлена пустеля: [Вірш], № 07",1990 - 2000,1998,#84B5B104
"Авано, Сейхо: «В Осака..»: Хайку, № 08",1998,"Піранделло, Луїджі: Дурень: Комедія, № 02",#D1605E
"Автор точно не встановлений: Пісня, № 08",1980 - 1990,Italy,#E59300
"Акуне, Жюн [Дзьон]: Опівнічне сяйво: [Вірш], № 07",1980 - 1990,Italian,#F2A2A64
"Акутагава, Рюноске: Павутинка: Оповідання, № 07",1980 - 1990,1987,#84B5B59
"Акутагава, Рюноске: Три скарби: Сценка, № 07",1987,"Піранделло, Луїджі: [Поезії], № 06",#D1605E
"Акутагава, Рюноске: Жаби: Оповідання, № 07",1990 - 2000,Italy,#E59301
"Андо, Ітіро: Кохання: [Вірш], № 09",1990 - 2000,Italian,#F2A2A65
"Арівара, Мото-ката: «За календарем...»: [Поезія], № 07",1990 - 2000,1998,#84B5B56
"Арівара, Наріхіра: [Поезії*], № 07",1998,"Піранделло, Луїджі: Посвист поїзда, № 02",#D1605E
"Аюкава, Нобуо: Осінні думи: [Вірш], № 09",1990 - 2000,Italy,#E59298
"Байсіцу: Хайку, № 08",1990 - 2000,Italian,#F2A2A62
"Басьо: Хайку, № 08",1990 - 2000,1998,#84B5B57
"Бусон: Хайку, № 08",1998,"Піранделло, Луїджі: Шлюбна ніч: Оповідання, № 02",#D1605E
"Ватанабе, Дзюн’їті: Світло без тіні: Роман, № 06",1980 - 1990,Italy,#E59299
"Ватанабе, Дзюн’їті: Світло без тіні: Роман, № 07",1980 - 1990,Italian,#F2A2A63
"Гонсуй: Хайку, № 08",1980 - 1990,1983,#84B5B104
"Дансуй: «І перед царем...»: Хайку, № 08",1983,"Понці, Мауро: Надто: [Вірш], № 05",#84B5B105
"Дзюнко, Міявакі: Комаха в бурштині: [Вірш], № 07",1990 - 2000,Italy,#D1605E
"Дзьосьо: Хайку, № 08",1990 - 2000,Italian,#E59299
"Дівчина з родини Абе: Пісня, № 08",1990 - 2000,1990,#F2A2A63
"Дівчина з родини Ісікава: Пісня-відповідь, № 08",1990,"Порта, Антоніо: Жебрачка дивиться на мене: [Вірш], № 06",#84B5B58
"Дівчина з родини Косе: Пісня, № 08",1960 - 1970,Italy,#D1605E
"Дочка Соно Ікуха: Пісня-відповідь, № 08",1960 - 1970,Italian,#E59300
"Егуті, Кан. Журавлі: Новела: -, № 03",1960 - 1970,1963,#F2A2A64
"Екей: «Оця хижчина...»: [Поезія], № 07",1963,"Пьйовене, Гвідо: Листи послушниці: Роман, № 10",#84B5B103
"Ібусе, Масудзі: Краплі: Новела, № 03",1980 - 1990,Italy,#84B5B104
"Ікаго, Ацуюкі: На прощання: [Поезія], № 07",1980 - 1990,Italian,#D1605E
"Імператриця Дзіто: Пісні, № 08",1980 - 1990,1986,#E59300
"Імператриця Іванохіме: Пісні, № 08",1986,"Рамелла-Баньєрі, Джованні: [Поезії], № 12",#F2A2A64
"Імператриця Комьо: Пісня, № 08",1980 - 1990,Italy,#84B5B59
"Ice: «Покидають...», № 07",1980 - 1990,Italian,#D1605E
"Ice: «Нема кому дивитись...»: [Поезії], № 07",1980 - 1990,1987,#E59301
"Ісіда, Хакьо: «Ніжнутроянду...»: Хайку, № 08",1987,"Ріпелліно, Анджело Марія: [Поезії], № 06",#F2A2A65
"Ісікава, Дзюн: Попереднє життя: Новела, № 03",1990 - 2000,Italy,#84B5B56
"Ісікава, Такубоку: з збірки «Жменя піску»: [Поезії], № 10",1990 - 2000,Italian,#D1605E
"Ісікава, Такубоку: Жменя піску: Есе, № 10",1990 - 2000,1990,#E59298
"Ісікава, Такубоку: [Поезії], № 01",1990,"Роверсі, Роберто: Вечеря в домі Симона: [Вірш], № 06",#F2A2A62
"Ісікава, Такубоку: [Поезії], № 06",1980 - 1990,Italy,#84B5B57
"Ісікава, Тацудзо: Очерет під вітром: Роман, № 01",1980 - 1990,Italian,#D1605E
"Ісса: Хайку, № 08",1980 - 1990,1983,#E59299
"Йосано, Ахіко: Танки: [Поезії], № 06",1983,"Роверсі, Роберто: Тридцять поезій: Уривки, № 05",#F2A2A63
"Кавабата, Ясунарі: Німий: Новела, № 03",1960 - 1970,Italy,#84B5B104
"Кавабата, Ясунарі: Сплячі красуні: Повість, № 01",1960 - 1970,Italian,#84B5B105
"Кавабата, Ясунарі: Сплячі красуні: Повість, № 02",1960 - 1970,1961,#D1605E
"Кавабата, Ясунарі: Танцівниця з Ідзу, № 08",1961,"Родарі, Джанні: Короткі байки [у прозі], № 05",#E59299
"Кавабата, Ясунарі: Подяка: Оповідання, № 08",1980 - 1990,Italy,#F2A2A63
"Кага-но, Ційодзьо: «О метелику..»: Хайку, № 08",1980 - 1990,Italian,#84B5B58
"K, Отохіко: Чужина: Оповідання, № 09",1980 - 1990,1983,#D1605E
"Какіномото, Хітомаро: Пісні, № 08",1983,"Родарі, Джанні: Пісня залізних штахет, № 05",#E59300
"Каміцукену, Мінео: «Осакури...»: [Поезія], № 07",1980 - 1990,Italy,#F2A2A64
"Камунагібе, Масо: Пісня дівчини, № 08",1980 - 1990,Italian,#84B5B103
"Каса, Канамура: Пісня, № 08",1980 - 1990,1983,#84B5B104
"Като, Какей: «Весняний наступ...», «Під стелею...»: Хайку, № 08",1983,"Родарі, Джанні: Життя, присвячене етології: Оповідання, № 05",#D1605E
"Като, Сюсон: «Жаби...»: Хайку, № 08",1960 - 1970,Italy,#E59300
"Кі, Мотіюкі: «Виявляється, людина...»: [Поезія], № 07",1960 - 1970,Italian,#F2A2A64
"Кі, Томонорі: [Поезії], № 07",1960 - 1970,1965,#84B5B59
"Кі, Цураюкі: [Поезії], № 07",1965,"Родарі, Джанні: Планета Новорічних Ялинок: Оповідання для дітей віком від 6 до 90 р, № 10",#D1605E
"Кійохара, Фукаябу: «Навколо зима...»: [Поезія], № 07",1980 - 1990,Italy,#E59301
"Кікику: «Блискавка...», № 08",1980 - 1990,Italian,#F2A2A65
"Кікику: «Немає дня...»: Хайку, № 08",1980 - 1990,1983,#84B5B102
"Кікуті, Хіросі: Багряне хаорі: Новела, № 03",1983,"Росселлі, Амелія: [Поезії], № 05",#84B5B103
"Кісіда, Ясумаса: Біля книжкової вітрини: [Вірш], № 04",1960 - 1970,Italy,#D1605E
"Кіхара, Коїті: Звідки, де, куди?: [Вірш], № 09",1960 - 1970,Italian,#E59301
"Коко-тенно: «Вийшов у весняний степ...»: [Поезія], № 07",1960 - 1970,1967,#84B5B57
"Кусама, Йосіхіко: «Весняний наступ триває...»: Хайку, № 08",1967,"Россо, Ренцо: Коротка подорож: Оповідання, № 02",#D1605E
"Кьорай. Хайку: -, № 08",1980 - 1990,Italy,#E59299
"Масаока, Сікі: Хайку, № 08",1980 - 1990,Italian,#F2A2A63
"Масуда, Тацудзі: «Зосередившись...»: Хайку, № 08",1980 - 1990,1983,#84B5B58
"Мати Оно Тіфуру: «Вартові на заставах!..»: [Поезія], № 07",1983,"Руффіллі, Паоло: Чи це і справді вигадка прекрасна?: [Вірш], № 05",#D1605E
"Мібу, Тадаміне: [Поезії], № 07",1980 - 1990,Italy,#E59300
"Мідзухара, Сюосі: «Холод...»: Хайку, № 08",1980 - 1990,Italian,#F2A2A64
"Міката, Самі: Пісні, № 08",1980 - 1990,1985,#84B5B106
"Мікіко, Суґі: Якщо піднятися схилом тієї гори...: Оповідання, № 3/4",1985,"Саба, Умберто: [Поезії], № 08",#84B5B107
"Мімей, Огава: Шипшина: Новела, № 03",1990 - 2000,Italy,#D1605E
"Мінайосі, Соу: «Рибальський баркас...»: Хайку, № 08",1990 - 2000,Italian,#E59300
"Мінамото, Сігеюкі: «Без жодного звуку...»: [Поезія], № 07",1990 - 2000,1990,#F2A2A64
"Місіма, Юкіо: Сповідь маски: Роман, № 08",1990,"Сангвінетті, Едоардо: Балада про жінок, № 06",#84B5B59
"Монах Хацуку: Пісня, № 08",1980 - 1990,Italy,#D1605E
"Морітаке: «Опалий лист...»: Хайку, № 08",1980 - 1990,Italian,#E59301
"Муракамі, Кідзьо: «Густий сніг...», № 08",1980 - 1990,1984,#F2A2A65
"Муракамі, Кідзьо: «Жолудь...»: Хайку, № 08",1984,"Серені, Вітторіо: Епізод однієї поразки: [Вірш], № 04",#84B5B105
"Нага, Окімаро: Пісня, № 08",1980 - 1990,Italy,#84B5B106
"Накадзіма, Токео: «Гроно винограду...»: Хайку, № 08",1980 - 1990,Italian,#D1605E
"Накадзіма, Токео: «Перемога у весняному наступі...»: Хайку, № 08",1980 - 1990,1988,#E59301
"Накамура, Кусатао: «Мати прислала...»: Хайку, № 08",1988,"Серені, Вітторіо: [Поезії], № 06",#F2A2A65
"Накано, Сігехару: Хвилі: [Поезія], № 09",1970 - 1980,Italy,#84B5B60
"Накано, Сігехару: Народні пісні з різних провінцій, № 08",1970 - 1980,Italian,#D1605E
"Невідома: Пісня невідомої дівчини, № 08",1970 - 1980,1973,#E59302
"Невідомий автор: «В кінці червня...»: [Поезія], № 07",1973,"Солдаті, Маріо: Смерть Флока: Оповідання, № 03",#F2A2A66
"Невідомий автор: «В осінньому степу...»: [Поезія], № 07",1980 - 1990,Italy,#84B5B4
"Невідомий автор: «Вже скоро з дубів...»: [Поезія], № 07",1980 - 1990,Italian,#84B5B3
"Невідомий автор: «Гадаю, не існує...: [Поезія], № 07",1980 - 1990,1983,#84B5B3
"Невідомий автор: «Досі не йде...»: [Поезія], № 07",1983,"Спаціані, Марія-Луїза: [Поезії], № 05",#D1605E
"Невідомий автор: «З літніх гір...»: [Поезія], № 07",1980 - 1990,Italy,#E59299
"Невідомий автор: «Кохає мене...»: [Поезія], № 07",1980 - 1990,Italian,#F2A2A63
"Невідомий автор: «Людину, яка...»: [Поезія], № 07",1980 - 1990,1982,#84B5B58
"Невідомий автор: «Між білими хмарами...»: [Поезія], № 07",1982,"Стента, Урбано: О стольний град...: [Вірш], № 05",#D1605E
"Невідомий автор: «Мінлива, швидко відцвітає...»: [Поезія], № 07",1960 - 1970,Italy,#E59300
"Невідомий автор: «На місячне сяйво...»: [Поезія], № 07",1960 - 1970,Italian,#F2A2A64
"Невідомий автор: «О мій коханий...»: [Поезія], № 07",1960 - 1970,1964,#84B5B106
"Невідомий автор: «Ох навесні...»: [Поезія], № 07",1964,"Страті, Саверіо: Лицемірство: Новела, № 03",#84B5B107
"Невідомий автор: Пісня («Нестійкий наш світ...»), № 08",1980 - 1990,Italy,#D1605E
"Невідомий автор: Пісня («Осінній вітер вже бадьорить...»), № 08",1980 - 1990,Italian,#E59300
"Невідомий автор: Пісня («Якщо в степу...»), № 08",1980 - 1990,1987,#F2A2A64
"Невідомий автор: Пісня («...Якщо ту хижу навзбережжі...»), № 08",1987,"Тавілла, Еліо: [Поезії], № 06",#84B5B59
"Невідомий автор: «Птахи летят по небу...» [Поезія], № 07",1990 - 2000,Italy,#D1605E
"Невідомий автор: «Рахую піщинки...»: [Поезія], № 07",1990 - 2000,Italian,#E59301
"Невідомий автор: «Серед болота Асака...»: [Поезія], № 07",1990 - 2000,1994,#F2A2A65
"Невідомий автор: «Серед яких скель...»: [Поезія], № 07",1994,"Томасео, Нікольо: Відвага й надія: [Вірш], № 03",#84B5B105
"Невідомий автор: «Хіба не нагадує це...»: [Поезія], № 07",1980 - 1990,Italy,#84B5B106
"Невідомий автор: «Чубчики колосся...»: [Поезія], № 07",1980 - 1990,Italian,#D1605E
"Невідомий автор: «Щовечора...»: [Поезія], № 07",1980 - 1990,1982,#E59301
"Невідомий автор: «Якщо відламати...»: [Поезія], № 07",1982,"Тофанеллі, Артуро: Тісний черевик: Оповідання, № 09",#F2A2A65
"Невідомий автор: «Якщо затужу...»: [Поезія], № 07",1980 - 1990,Italy,#84B5B60
"Невідомий автор: «Якщо серце...»: [Поезія], № 07",1980 - 1990,Italian,#D1605E
"Огата, Каменоске: Вірші про двох: [Поезія], № 09",1980 - 1990,1980,#E59302
"Ода, Цукау: Пісня, № 08",1980,"Унгаретті, Джузеппе: [Поезії], № 05",#F2A2A66
"Ое, Кендзабуро: Звір: Оповідання, № 08",1980 - 1990,Italy,#84B5B57
"Ое, Кендзабуро: Історія М, № 11",1980 - 1990,Italian,#D1605E
"Ое, Кендзабуро: Історія М, № 12",1980 - 1990,1988,#E59299
"Ое, Тісато: «Дивлюсь, як люто...»: [Поезія], № 07",1988,"Фава, Джузеппе: Достойні громадяни: Роман, № 02",#F2A2A63
"Оніцура: Хайку, № 08",1980 - 1990,Italy,#84B5B58
"Оно, Коматі: «Тому й приснився...», № 07",1980 - 1990,Italian,#D1605E
"Оно, Коматі: «Якось раз, задрімавши...»: [Поезії], № 07",1980 - 1990,1988,#E59300
"Оно, Такамура: «Білих квітів...»: [Поезія], № 07",1988,"Фава, Джузеппе: Достойні громадяни: Роман, № 03",#F2A2A64
"Оонісі, Акахіто: Панахида по людству: Оповідання, № 03",1980 - 1990,Italy,#84B5B106
"Ооно, Рійка: «О жителі Кісо...»: Хайку, № 08",1980 - 1990,Italian,#84B5B107
"Осакабе, Отомаре: Пісня, № 08",1980 - 1990,1984,#D1605E
"Осікоті, Міцуне: [Поезії], № 07",1984,"Фенольйо, Беппе: Особиста справа: Роман, № 08",#E59300
"Отомо, Катамі: Пісня, № 08",1960 - 1970,Italy,#F2A2A64
"Отомо, Мійорі: Пісня, № 08",1960 - 1970,Italian,#84B5B59
"Отомо, Мінака: Пісня, № 08",1960 - 1970,1967,#D1605E
"Отомо, Момойо: Пісня, № 08",1967,"Філіппо, Едуардо де: Вертеп пана Куп’єл-ло: Комедія, № 12",#E59301
